,sustainability_score,company,Environment_Category 0,Environment_Category 1,Environment_Category 2,Environment_Category 3,Environment_Category 4,Environment_Category 5,Governance_Category 0,Governance_Category 1,Governance_Category 2,Governance_Category 3,Governance_Category 4,Governance_Category 5,Social_Category 0,Social_Category 1,Social_Category 2,Social_Category 3,Social_Category 4,Social_Category 5
89,16.65345389,Anthem Inc,0,0,0,0,0,0,0,1,6,0,0,0,0,0,15,16,0,0
90,85.15093003,Antofagasta PLC,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
91,16.39685898,Aon PLC,0,0,0,0,0,0,0,0,1,0,0,0,0,7,9,0,0,0
92,16.00662999,"Aozora Bank, Ltd.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,49.28425482,Apache Corp,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
94,17.86760662,Apple Inc,0,1,0,0,0,0,0,0,1,25,0,0,0,0,13,68,0,0
95,12.14486875,Aramark,0,1,0,0,0,0,0,0,0,0,0,0,0,3,14,9,0,0
96,74.77528003,Arcelik AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
97,7.692660297,Arch Capital Group Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98,24.16691446,Archer-Daniels Midland Co,0,0,0,12,0,0,0,2,2,0,0,0,0,0,3,4,0,0
99,93.80415649,Arconic Inc,0,0,0,1,0,0,0,0,4,0,0,0,0,0,2,7,0,0
100,24.69089396,Aristocrat Leisure Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101,60.01808407,Arkema SA,0,0,0,14,0,0,0,0,0,0,0,0,0,1,2,0,0,0
102,45.27376281,Arthur J. Gallagher & Co,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
103,25.78262384,"Asahi Group Holdings, Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
104,69.67166826,Asahi Kasei Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
105,4.108940779,Ashok Leyland Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106,49.66734551,Ashtead Group PLC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
107,65.83205351,Asia Cement Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
108,6.332589356,Aspen Pharmacare Holdings Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0
109,15.63912042,Associated British Foods PLC,0,0,0,0,0,0,0,0,2,0,0,0,0,1,8,4,0,0
110,6.168131378,"Assurant, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
111,24.12105688,Astellas Pharma Inc.,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,0,0,0
112,31.16568981,PT Astra International Tbk,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
113,79.07784444,AstraZeneca PLC,0,0,0,0,0,0,0,0,9,3,0,0,0,0,20,0,0,0
114,86.12824922,Atlantia S.p.A.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
115,3.568114534,Atmos Energy Corp,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0
116,80.93452694,Atos SE,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0
117,48.89408005,Aurizon Holdings Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0
118,0.29458397,Aurobindo Pharma Ltd,0,0,0,3,0,0,0,2,0,0,0,0,0,0,12,0,0,0
119,35.08218576,AusNet Services Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
120,47.15471852,Australia and New Zealand Banking Group Limited,0,0,8,0,0,0,0,0,1,24,0,0,0,4,22,12,0,0
121,65.42238861,AutoZone Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
122,7.910872979,"Autoliv, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
123,60.35247417,Automatic Data Processing Inc,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
124,82.92599962,"AvalonBay Communities, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
125,47.50183628,Avery Dennison Corp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,70.12037112,Aviva PLC,0,5,0,0,0,0,0,0,1,0,0,0,0,4,5,0,0,0
127,5.90245099,Axalta Coating Systems Ltd,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
128,74.59871405,Axel Springer SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
129,24.05849502,Axiata Group Berhad,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
130,96.30111396,Ayala Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
131,90.13491396,"Ayala Land, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
132,68.10900016,Airbus SE,0,0,0,0,0,0,0,0,4,20,0,0,0,2,0,40,0,0
133,68.10900016,Basf SE,0,5,0,24,0,0,0,0,1,0,0,0,0,2,14,3,0,0
134,15.44120305,BB&T Corp,0,0,3,0,0,0,0,0,6,0,0,0,0,3,11,0,0,0
135,77.65163738,BCE Inc,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0
136,47.60971917,"BDO Unibank, Inc.",0,1,0,0,0,0,0,2,8,0,0,0,0,2,0,0,0,0
137,92.48326691,BHP Billiton PLC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
138,0.436745234,Bim Birlesik Magazalar AS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
